Doculect	Concept	Form
Andoa	ALL	
Andoa	AND	
Andoa	ANIMAL	
Andoa	ASH	
Andoa	AT	
Andoa	BACK	
Andoa	BAD	
Andoa	BARK	
Andoa	BECAUSE	
Andoa	BELLY	
Andoa	BERRY	
Andoa	BIG	nakamáro
Andoa	BIRD	pishyáno
Andoa	BITE	
Andoa	BLACK	miróshija
Andoa	BLOOD	
Andoa	BLOW (OF WIND)	
Andoa	BONE	
Andoa	BREATHE	
Andoa	BURNING	
Andoa	CHILD (YOUNG HUMAN)	
Andoa	CLOUD	
Andoa	COLD (OF WEATHER)	
Andoa	COME	
Andoa	COUNT	
Andoa	CUT	
Andoa	DAY (NOT NIGHT)	tadikí
Andoa	DIE	
Andoa	DIG	
Andoa	DIRTY	
Andoa	DOG	atsarí
Andoa	DRINK	
Andoa	DRY	
Andoa	BLUNT	
Andoa	DUST	
Andoa	EAR	nomáko
Andoa	EARTH (SOIL)	
Andoa	EAT	
Andoa	EGG	nodíko
Andoa	EYE	namíjya
Andoa	FALL	
Andoa	FAR	
Andoa	FAT (ORGANIC SUBSTANCE)	
Andoa	FATHER	kwakí
Andoa	FEAR (BE AFRAID)	
Andoa	FEATHER	kajáso
Andoa	FEW	
Andoa	FIGHT	
Andoa	FIRE	omaní
Andoa	FISH	imyáno
Andoa	FIVE	
Andoa	FLOAT	
Andoa	FLOW	
Andoa	FLOWER	
Andoa	FLY (MOVE THROUGH AIR)	
Andoa	FOG	
Andoa	FOOT	
Andoa	FOUR	
Andoa	FREEZE	
Andoa	GIVE	
Andoa	GOOD	
Andoa	GRASS	
Andoa	GREEN	
Andoa	GUTS	
Andoa	HAIR	
Andoa	HAND	awashí
Andoa	HE	
Andoa	HEAD	anaká
Andoa	HEAR	
Andoa	HEART	
Andoa	HEAVY	
Andoa	HERE	
Andoa	HIT	
Andoa	HOLD	
Andoa	HOW	
Andoa	HUNT	
Andoa	HUSBAND	
Andoa	I	kijá
Andoa	ICE	
Andoa	IF	
Andoa	IN	
Andoa	KILL	
Andoa	KNOW (SOMETHING)	
Andoa	LAKE	
Andoa	LAUGH	
Andoa	LEAF	naamé
Andoa	LEFT	
Andoa	LEG	inyawaká
Andoa	LIE (REST)	
Andoa	BE ALIVE	
Andoa	LIVER	
Andoa	LONG	
Andoa	LOUSE	sokwanája
Andoa	MALE PERSON	iyaraká
Andoa	MANY	saaniyá
Andoa	FLESH OR MEAT	
Andoa	MOTHER	anokwá
Andoa	MOUNTAIN	
Andoa	MOUTH	
Andoa	NAME	
Andoa	NARROW	
Andoa	NEAR	
Andoa	NECK	
Andoa	NEW	
Andoa	NIGHT	
Andoa	NOSE	najúkwa
Andoa	NOT	
Andoa	OLD	
Andoa	ONE	
Andoa	OTHER	
Andoa	PERSON	püáno
Andoa	PLAY	
Andoa	PULL	
Andoa	PUSH	
Andoa	RAIN (RAINING)	
Andoa	RED	nóshki
Andoa	CORRECT (RIGHT)	
Andoa	RIGHT	
Andoa	RIVER	
Andoa	ROAD	
Andoa	ROOT	
Andoa	ROPE	
Andoa	ROTTEN	mokwashí
Andoa	RUB	
Andoa	SALT	ichojá
Andoa	SAND	
Andoa	SAY	
Andoa	SCRATCH	
Andoa	SEA	
Andoa	SEE	
Andoa	SEED	
Andoa	SEW	
Andoa	SHARP	
Andoa	SHORT	
Andoa	SING	
Andoa	SIT	
Andoa	SKIN (HUMAN)	
Andoa	SKY	anapachá
Andoa	SLEEP	
Andoa	SMALL	
Andoa	SMELL (PERCEIVE)	
Andoa	SMOKE (EXHAUST)	
Andoa	SMOOTH	
Andoa	SNAKE	
Andoa	SNOW	
Andoa	SOME	
Andoa	SPIT	
Andoa	SPLIT	
Andoa	SQUEEZE	
Andoa	STAB	
Andoa	STAND	
Andoa	STAR	
Andoa	STICK	
Andoa	STONE	tasayjyá
Andoa	STRAIGHT	
Andoa	SUCK	
Andoa	SUN	opanáno
Andoa	SWELL	
Andoa	SWIM	
Andoa	TAIL	
Andoa	THAT	
Andoa	THERE	
Andoa	THEY	
Andoa	THICK	
Andoa	THIN	
Andoa	THINK	
Andoa	THIS	
Andoa	THOU	
Andoa	THREE	
Andoa	THROW	
Andoa	TIE	
Andoa	TONGUE	níti
Andoa	TOOTH	ikyajá
Andoa	TREE	amáka
Andoa	TURN AROUND	
Andoa	TWO	
Andoa	VOMIT	
Andoa	WALK	
Andoa	WARM (OF WEATHER)	
Andoa	WASH	
Andoa	WATER	moáka
Andoa	WE	
Andoa	WET	
Andoa	WHAT	
Andoa	WHEN	
Andoa	WHERE	
Andoa	WHITE	oshíshia
Andoa	WHO	
Andoa	WIDE	
Andoa	WIFE	
Andoa	WIND	
Andoa	WING	
Andoa	WIPE	
Andoa	WITH	
Andoa	WOMAN	máaji
Andoa	FOREST	nakwája
Andoa	WORM	
Andoa	YOU	
Andoa	YEAR	
Andoa	YELLOW	
