1,I,wi,,
2,thou,ame,,
3,he,ni,,
4,we,ii,,
5,you (pl),atum,,
6,they,nita,,
7,this,ju,,
8,that,au,,
9,here,jui,,
10,there,nui,,
11,who,ya,,
12,what,wari,,
13,where,tui,,
14,when,urutma,,
15,how,uruk,,
16,not,atsa,,
17,all,ashi,,
18,many,nukap,,
19,some,nukap,,
20,few,ishichik,,
21,other,tikich,,
22,one,tikichik,,
23,two,jimar,,
24,three,kampatum,,
25,four,aintuk aintuk,,
26,five,uwej amua,,
27,big,uun,,
28,long,esaram,,
29,wide,wankaram,,
30,thick,kampuram,,
31,heavy,kijin,,
32,small,shikapich,,
33,short,sutar,,
34,narrow,wankarmachu,,
35,thin,japat,,
36,woman,nuwa,,
37,man (adult male),aishman,,
38,man (human being),shuar,,
39,child,uchi,,
40,wife,nuwe,nuwa + possession,
41,husband,aishri,aishi + possession,
42,mother,nukuri,nuku + possession (nuku 'your mother),
43,father,apa,,
44,animal,kuntin,,
45,fish,namak,,
46,bird,nanamtin,,
47,dog,yawaa,,
48,louse,tema,,
49,snake,napi,,
50,worm,aka,,
51,tree,numi,,
52,forest,ikam,,
53,stick,numi,,
54,fruit,saepe,,
55,seed,jinkai,,
56,leaf,nupa,,
57,root,kankap,,
58,bark ,saepe,possessed,"*also shell, peel"
59,flower,yankur,,
60,grass,nupa,,
61,rope,naek,,
62,skin,nuap,,
63,meat,naman ,,
64,blood,numpa,,
65,bone,ukunch,,
66,fat ,kuntut,,
67,egg,nujin,,
68,horn,kachu,,
69,tail,ujuke,ujukV + possessión,
70,feather,ure,,
71,hair,intash,,
72,head,muuke,muuke,
73,ear,kuish,,
74,eye,jii,,
75,nose,nuji,,
76,mouth,wene,wena + possession,
77,tooth,nai,,
78,tongue,inai,,
79,fingernail,nanchik,,
80,foot,nawe,,
81,leg,maku,,
82,knee,tikish,,
83,hand,ewej,,
84,wing,nanap,,
85,belly,tantan,,
86,guts,ampuj,,
87,neck,kuntej,,
88,back,tuntup,,
89,breast,muntsu,,
90,heart,anentai,,
91,liver,akap,,
92,to drink,umut,,
93,to eat,yuta,,
94,to bite,esait,,
95,to suck,mukunat,,
96,to spit,usuikmat,,
97,to vomit,muit,,
98,to blow,umput,,
99,to breathe,mayat,también mayatat,
100,to laugh,wishikat,,
101,to see,iit,,
102,to hear,antut,,
103,to know,nekat,,
104,to think,anentaimat,,
105,to smell,nekapet,,
106,to fear,ashamat,,
107,to sleep,kanut,,
108,to live,pujut,,
109,to die,jakat,,
110,to kill,maat,,
111,to fight,maanit,,
112,to hunt,eakmat,,
113,to hit,awatat,,
114,to cut,tsupit,,
115,to split,,,
116,to stab,ijut,,
117,to scratch,nanchikat,,
118,to dig,taumat,,
119,to swim,yukumat,,
120,to fly,nanamat,,
121,to walk,wekat,,
122,to come,winit,,
123,to lie,tepet,,
124,to sit,ekemat,,
125,to stand,wajat,,
126,to turn (intransitive),ayantat,,
127,to fall,iyat,,
128,to give,suta,,
129,to hold,achinat,,
130,to squeeze,chanut,,
131,to rub,yakat,yakamat (rub oneself),
132,to wash,nijat,,
133,to wipe,japimat,,
134,to pull,japit,,
135,to push,shitat,,
136,to throw,nanki,,
137,to tie,jinkat,,
138,to sew,aparat,,
139,to count,nekapmat,,
140,to say,chichat,,
141,to sing,,,
142,to play,nakurut,,
143,to float,nanamat,,
144,to flow,,,
145,to freeze,,,
146,to swell,,,
147,sun,etsa,,
148,moon,nantu,,
149,star,yaa,,
150,water,entsa,also yumi,
151,rain,yumi,,
152,river,entsa,,
153,lake,kucha,,
154,sea,nayantsa,,
155,salt,wee,,
156,stone,kaya,,
157,sand,yaikim,,
158,dust,tsetse,,
159,earth,nunka,,
160,cloud,yurankim,,
161,fog,yurankim,,
162,sky,nayaim,,
163,wind,nase,,
164,snow ,NA,,
165,ice,NA,,
166,smoke,mukuin,,
167,fire,jii,,
168,ash,yunkunim,,
169,to burn,esat,,
170,road,jinta,,
171,mountain,mura,,
172,red,kapantu,,
173,green,samek,,
174,yellow,yanku,,
175,white,puju,,
176,black,mukusa,,
177,night,kashi,,
178,day,tsawan,,
179,year,NA,existe la expresión wampush ,
180,warm ,jake,,
181,cold,tsetsek,,
182,full,mete,,
183,new,yama,,
184,old,uun,,
185,good,penker,,
186,bad,pnkerchau,,
187,rotten ,kauru,,
188,dirty ,wapik,,
189,straight,tutupin,,
190,round,tente,,
191,sharp (as a knife),tsakatskatu,,
192,dull (as a knife),muntuch,,
193,smooth,tamer,,
194,wet,jinaru,,
195,dry ,kaaru,,
196,correct,penker,,
197,near,ijus,,
198,far,yaja,,
199,right,untsur,,
200,left,mena,,
201,at,NA,locative postposition -num / nam /- i,
202,in,NA,locative postposition -num / nam /- i,
203,with,NA,commitative posposition -jai,
204,and,tura,,
205,if,,a subordinator -sha is used for conditional,
206,because,,a subordinator -sa (or other subordinators) is used,
207,name,naa,,
