Doculect,Concept,Form
Shuar,98,
Shuar,1577,
Shuar,619,
Shuar,646,
Shuar,1461,
Shuar,1291,
Shuar,1292,
Shuar,1204,
Shuar,1157,
Shuar,1251,
Shuar,904,
Shuar,1202,
Shuar,937,
Shuar,1403,
Shuar,163,
Shuar,946,
Shuar,175,
Shuar,1394,
Shuar,1407,
Shuar,1428,
Shuar,1304,
Shuar,1489,
Shuar,2483,
Shuar,1446,
Shuar,1420,
Shuar,1432,
Shuar,1225,
Shuar,1494,
Shuar,1418,
Shuar,1230,
Shuar,2009,
Shuar,1401,
Shuar,1398,
Shuar,379,
Shuar,2,
Shuar,1247,
Shuar,1228,
Shuar,1336,
Shuar,744,
Shuar,1248,
Shuar,1280,
Shuar,1406,
Shuar,323,
Shuar,1217,
Shuar,1419,
Shuar,1201,
Shuar,1242,
Shuar,1423,
Shuar,221,
Shuar,227,
Shuar,493,
Shuar,1574,
Shuar,2003,
Shuar,239,
Shuar,1441,
Shuar,249,
Shuar,1301,
Shuar,1500,
Shuar,1431,
Shuar,1447,
Shuar,1035,
Shuar,606,
Shuar,1425,
Shuar,1334,
Shuar,1040,
Shuar,1277,
Shuar,1211,
Shuar,1256,
Shuar,1408,
Shuar,1223,
Shuar,1210,
Shuar,136,
Shuar,1433,
Shuar,1448,
Shuar,1239,
Shuar,1435,
Shuar,1200,
Shuar,1209,
Shuar,617,
Shuar,1459,
Shuar,1460,
Shuar,1417,
Shuar,1410,
Shuar,624,
Shuar,1355,
Shuar,628,
Shuar,244,
Shuar,1297,
Shuar,1411,
Shuar,1422,
Shuar,1224,
Shuar,1203,
Shuar,1392,
Shuar,2106,
Shuar,1198,
Shuar,2615,
Shuar,1216,
Shuar,639,
Shuar,674,
Shuar,1405,
Shuar,1267,
Shuar,1942,
Shuar,1333,
Shuar,1231,
Shuar,1233,
Shuar,1221,
Shuar,1240,
Shuar,1229,
Shuar,1493,
Shuar,197,
Shuar,683,
Shuar,1413,
Shuar,1455,
Shuar,1452,
Shuar,1253,
Shuar,156,
Shuar,1725,
Shuar,1019,
Shuar,666,
Shuar,667,
Shuar,670,
Shuar,1218,
Shuar,1728,
Shuar,1449,
Shuar,1274,
Shuar,671,
Shuar,1458,
Shuar,1436,
Shuar,1474,
Shuar,1409,
Shuar,714,
Shuar,1457,
Shuar,1396,
Shuar,1645,
Shuar,1261,
Shuar,1416,
Shuar,2613,
Shuar,1732,
Shuar,1585,
Shuar,1246,
Shuar,1586,
Shuar,778,
Shuar,1234,
Shuar,730,
Shuar,784,
Shuar,1241,
Shuar,1440,
Shuar,1437,
Shuar,1414,
Shuar,1434,
Shuar,1442,
Shuar,1430,
Shuar,1295,
Shuar,857,
Shuar,1404,
Shuar,1421,
Shuar,1343,
Shuar,1573,
Shuar,1439,
Shuar,1220,
Shuar,78,
Shuar,1937,
Shuar,817,
Shuar,1244,
Shuar,2308,
Shuar,2271,
Shuar,1214,
Shuar,1215,
Shuar,492,
Shuar,1456,
Shuar,1917,
Shuar,1205,
Shuar,1380,
Shuar,906,
Shuar,1444,
Shuar,1498,
Shuar,1278,
Shuar,1443,
Shuar,2110,
Shuar,1453,
Shuar,948,
Shuar,1212,
Shuar,1726,
Shuar,1236,
Shuar,1238,
Shuar,1237,
Shuar,1335,
Shuar,1235,
Shuar,1243,
Shuar,1199,
Shuar,960,
Shuar,1257,
Shuar,1454,
Shuar,1340,
Shuar,962,
Shuar,420,
Shuar,1219,
Shuar,1213,
Shuar,1226,
Shuar,1424,
